,CompanyName,Industry,Locations,LocationCount,Rating,InterviewCount
0,TCS,IT Services & Consulting , Bengaluru ,439,-1.0,11.8k
1,Accenture,IT Services & Consulting , Bengaluru ,256,-1.0,9.2k
2,Wipro,IT Services & Consulting , Hyderabad ,370,-1.0,6.7k
3,Cognizant,IT Services & Consulting , Hyderabad ,230,-1.0,6.3k
4,Capgemini,IT Services & Consulting , Bengaluru ,182,-1.0,5.5k
5,HDFC Bank,Banking , Mumbai ,1834,-1.0,2.9k
6,Infosys,IT Services & Consulting , Bengaluru ,248,-1.0,8.3k
7,ICICI Bank,Banking , Mumbai ,1439,-1.0,2.9k
8,HCLTech,IT Services & Consulting , Chennai ,230,-1.0,4.5k
9,Tech Mahindra,IT Services & Consulting , Hyderabad ,331,-1.0,4.5k
10,Genpact,IT Services & Consulting , Hyderabad ,181,-1.0,3.8k
11,Teleperformance,BPO , Mumbai ,255,-1.0,2.2k
12,Jio,Telecom , Mumbai ,1943,-1.0,4.1k
13,Axis Bank,Banking , Mumbai ,1507,-1.0,1.9k
14,Concentrix Corporation,BPO , Bengaluru ,178,-1.0,2k
15,Amazon,Internet , Bengaluru ,520,-1.0,5.8k
16,iEnergizer,BPO , Noida ,51,-1.0,1.2k
17,Reliance Retail,Retail , Mumbai ,1156,-1.0,1.9k
18,LTIMindtree,IT Services & Consulting , Bengaluru ,145,-1.0,3.4k
19,IBM,IT Services & Consulting , Bengaluru ,161,-1.0,2.6k
20,HDB Financial Services,NBFC , Mumbai ,1091,-1.0,1.1k
21,Larsen & Toubro Limited,Engineering & Construction , Chennai ,760,-1.0,1.8k
22,Deloitte,Management Consulting , Hyderabad ,188,-1.0,3.3k
23,Kotak Mahindra Bank,Banking , Mumbai ,687,-1.0,1.4k
24,Reliance Industries,Oil & Gas , Jamnagar ,816,-1.0,1.6k
25,Vodafone Idea,Telecom , Pune ,704,-1.0,674
26,Bharti Airtel,Telecom , Gurugram ,792,-1.0,1.1k
27,BYJU'S,EdTech , Bengaluru ,322,-1.0,2.1k
28,WNS,IT Services & Consulting , Pune ,65,-1.0,1.2k
29,IDFC FIRST Bank,Banking , Mumbai ,715,-1.0,927
30,Ernst & Young,Management Consulting , Bengaluru ,132,-1.0,1.3k
31,Tata Motors,Automobile , Pune ,507,-1.0,1.2k
32,IndusInd Bank,Banking , Mumbai ,791,-1.0,761
33,AU Small Finance Bank,Banking , Jaipur ,788,-1.0,678
34,Bajaj Finserv,NBFC , Pune ,1171,-1.0,724
35,Flipkart,Internet , Bengaluru ,558,-1.0,1.6k
36,Muthoot FinCorp,NBFC , Bengaluru ,1101,-1.0,2.2k
37,PwC,Management Consulting , Bengaluru ,132,-1.0,1.6k
38,Mahindra & Mahindra,Automobile , Pune ,562,-1.0,845
39,Infosys BPM,BPO , Bengaluru ,96,-1.0,1.1k
40,DXC Technology,IT Services & Consulting , Bengaluru ,133,-1.0,891
41,HDFC Life,Insurance , Mumbai ,706,-1.0,780
42,Bandhan Bank,Banking , Kolkata ,998,-1.0,741
